X, Result
-12.566370614359172,NaN
-11.780972450961723,1.000000000000018
-10.995574287564274,NaN
-10.210176124166825,-0.9999999975433733
-9.424777960769376,NaN
-8.639379797371927,0.999994496287431
-7.853981633974478,NaN
-7.06858347057703,-1.0000055061994866
-6.283185307179582,NaN
-5.4977871437821335,1.000000000000011
-4.712388980384685,NaN
-3.926990816987237,-0.999999997543376
-3.1415926535897887,NaN
-2.3561944901923404,0.999994496287431
-1.5707963267948921,NaN
-0.7853981633974438,-1.0000055061994866
4.440892098500626E-15,11619.50734245657
0.7853981633974527,3.3529108157692093E-4
1.570796326794901,0.01431025611549207
2.3561944901923493,0.6687347753694978
3.1415926535897976,3.7970092955116685
3.926990816987246,11.05344241636296
4.712388980384694,23.416916236926248
5.497787143782142,41.35416146819119
6.283185307179591,65.0089476104807
7.068583470577039,94.32710798183469
7.853981633974487,129.1317120758299
8.639379797371936,169.1684351932229
9.424777960769383,214.13421749254755
10.210176124166832,263.69650339133835
10.995574287564281,317.506893092182
11.78097245096173,375.21120028743655
